date,sha,editor_tti_ms,editor_floor_tti_ms,editor_overhead_ms,editor_tbt_ms,css_kb_gz,js_kb_gz
2026-07-19,bf28241,34974,32788,2186,3137,82.0,33.9
2026-07-19,0d95d38,34345,36103,-1758,3507,82.0,33.9
2026-07-19,a10ab30,33446,36021,-2575,2996,82.3,33.9
2026-07-19,e1a35ac,33055,32077,978,2586,82.7,33.9
2026-07-25,3824dd3,35223,35991,-768,3245,83.1,33.9
2026-07-25,6471f2b,33471,34731,-1260,2977,83.6,33.9
2026-07-25,98e31e4,32214,31580,634,1841,83.6,33.9
2026-07-25,87b54ef,35379,36082,-703,3437,83.6,33.9
2026-07-25,e33c4a4,33683,36138,-2455,2966,83.9,33.9
2026-07-25,bda1c09,34818,36018,-1200,3522,83.9,33.9
2026-07-25,1a4ce4b,34556,36070,-1514,3120,83.9,33.9
2026-07-25,3094bbd,34192,36156,-1964,3368,84.0,33.9
2026-07-25,0f1da45,35653,36090,-437,1768,84.4,33.9
2026-07-25,7fdd4e3,33886,36096,-2210,3048,84.5,33.9
2026-07-25,0e4debc,33340,36135,-2795,3037,84.5,33.9
2026-07-25,471b756,34353,36166,-1813,3540,84.5,33.9
2026-07-26,fc838f5,34027,35986,-1959,3483,84.5,33.9
2026-07-26,7968820,33530,34772,-1242,3322,84.5,33.9
2026-07-30,96ca6f7,33967,35942,-1975,2992,84.5,33.9
2026-07-30,5551492,34539,33968,571,3110,84.5,33.9
2026-07-30,ffce324,33196,33360,-164,3231,84.5,33.9
2026-07-30,ffa565e,33600,36109,-2509,2911,85.5,33.9
2026-07-30,d0e6563,33742,33054,688,3215,85.7,33.9
2026-07-31,dde3dd2,32685,31851,834,2598,86.7,33.9
2026-08-01,d194d18,33495,33827,-332,3173,87.4,33.9
2026-08-01,1250b29,33306,36119,-2813,2923,87.4,33.9
2026-08-01,5ac9d96,34061,33023,1038,3205,87.4,33.9
2026-08-01,b9b3bd1,33002,32134,868,1855,88.5,33.9
2026-08-01,642c4d6,34633,35941,-1308,3481,88.4,33.9
2026-08-01,4e6f773,33060,31766,1294,2127,88.4,33.9
2026-08-01,e6cefc7,33556,36043,-2487,2988,88.4,33.9
2026-08-01,6784b88,33621,34322,-701,3235,88.4,33.9
2026-08-01,50aa275,33992,36029,-2037,3058,88.4,33.9
2026-08-02,59c1135,34304,33556,748,3272,89.1,33.9
2026-08-02,59c1135,34714,33197,1517,3478,89.3,33.9
2026-08-02,bb2dd61,34146,36124,-1978,3279,89.7,34.3
2026-08-02,d6d3b0e,34194,33116,1078,3424,89.7,34.3
2026-08-02,637134a,34560,33263,1297,3341,89.7,34.3
2026-08-03,d7fbd86,33722,33158,564,3025,89.7,34.3
2026-08-03,29c47bc,34070,35961,-1891,3342,89.7,34.3
2026-08-03,dd83578,33817,36149,-2332,3013,89.9,34.3
2026-08-03,4d69ebf,34345,36208,-1863,3461,89.9,34.3
2026-08-03,822bb9b,33969,36001,-2032,3025,91.4,34.3
2026-08-03,9210904,33813,33395,418,2911,91.5,34.3
2026-08-03,74e4512,33348,32466,882,2783,91.5,34.3
2026-08-03,cc4fd0d,31348,32003,-655,1388,94.7,34.3
2026-08-03,1b4e5a0,34390,33538,852,3295,95.6,34.3
2026-08-04,640260a,32529,32842,-313,2361,98.1,34.3
2026-08-04,0cb7110,34486,34186,300,3531,98.5,34.3
2026-08-04,03a2f28,34405,33623,782,3707,98.5,34.3
2026-08-05,7e4a4a0,34243,33104,1139,3279,99.2,34.3
2026-08-05,13a845e,33821,36044,-2223,3509,99.2,34.3
2026-08-05,3a0f70c,33746,36237,-2491,3409,99.2,34.3
2026-08-05,2322aea,34234,36235,-2001,3284,99.5,34.1
2026-08-05,288154d,33922,33759,163,3220,99.5,34.1
2026-08-06,0d8813c,34224,33032,1192,3203,100.2,34.1
2026-08-07,2d24879,33253,32703,550,2306,101.6,34.1
2026-08-07,782ef12,34399,38002,-3603,3501,102.4,34.1
2026-08-07,fdd15f2,32876,32501,375,1945,102.4,34.1
2026-08-07,5104ee1,34979,36363,-1384,3563,102.4,34.1
2026-08-07,99cd9e1,34084,36336,-2252,3254,102.4,34.1
2026-08-08,d77b568,34210,33472,738,3093,102.4,34.1
2026-08-08,a4a5623,34498,33386,1112,3295,102.4,34.1
2026-08-15,414eae4,33883,36328,-2445,2939,102.4,34.1
2026-08-15,da3509d,32832,32450,382,2060,102.4,34.1
2026-08-15,20f6661,36024,36322,-298,3451,102.4,34.1
2026-08-15,0d645eb,33995,34222,-227,3152,102.4,34.1
2026-08-15,1bc5699,35251,36239,-988,3149,102.4,34.1
2026-08-15,3426e31,34077,36424,-2347,3126,102.4,34.1
2026-08-15,c7b0022,33899,33922,-23,3152,102.4,34.1
2026-08-15,fe0a654,34156,33532,624,3178,102.4,34.1
2026-08-25,69d636c,37049,40421,-3372,2723,102.5,34.1
2026-08-26,bfc2c41,37563,40926,-3363,2479,102.5,34.1
2026-08-26,1256913,36197,37072,-875,2682,102.5,34.1
2026-08-26,d8564e8,36108,40374,-4266,1902,102.5,34.1
2026-08-27,d8e85ef,37258,40814,-3556,2888,102.5,34.1
2026-08-27,050f322,37230,37562,-332,2914,102.5,34.1
2026-08-27,47b0ffb,37928,37526,402,3709,102.5,34.1
2026-09-01,7e5e4e2,35600,39152,-3552,1677,102.5,34.1
2026-09-02,787f505,37340,37584,-244,2862,102.5,34.1
2026-09-02,236ead5,37633,40758,-3125,2240,102.5,34.1
2026-09-02,22b5134,36905,37213,-308,2468,102.5,34.1
2026-09-02,6245f51,37710,41587,-3877,2924,102.5,34.1
2026-09-02,51ebd29,38463,37516,947,3263,102.9,34.1
2026-09-03,a6e2b59,36754,37339,-585,2715,102.9,34.1
2026-09-03,3b0b3e1,39621,37339,2282,6286,102.9,34.1
2026-09-03,83b6d88,36999,40534,-3535,2496,102.9,34.1
2026-09-03,27f3d93,37404,36567,837,2400,102.9,34.1
2026-09-03,6535fd2,37384,38374,-990,3574,102.9,34.1
2026-09-03,44a6a64,37302,37224,78,2830,102.9,34.1
2026-09-04,1c5834d,37401,38244,-843,2634,102.9,34.1
2026-09-04,d97fdb4,37109,38050,-941,2999,102.9,34.1
2026-09-05,256f9f3,36508,38039,-1531,2702,105.3,34.1
